# OrderP Phi
15.000000 -inf
15.600000 -inf
16.200000 -inf
16.800000 -inf
17.400000 -inf
18.000000 -inf
18.600000 -inf
19.200000 -inf
19.800000 -0.074487
20.400000 0.000000
21.000000 -0.226915
21.600000 -0.334215
22.200000 -0.360887
22.800000 -0.366264
23.400000 -0.369922
24.000000 -0.396598
24.600000 -0.380762
25.200000 -0.379521
25.800000 -0.375735
26.400000 -0.372348
27.000000 -0.499739
27.600000 -2.538028
28.200000 -6.544158
28.800000 -7.432319
29.400000 -7.975843
30.000000 -8.030787
30.600000 -7.982083
31.200000 -7.597370
31.800000 -6.784580
32.400000 -3.047154
33.000000 -1.026748
33.600000 -0.902615
34.200000 -0.914402
34.800000 -0.926703
35.400000 -0.930625
36.000000 -0.932535
36.600000 -0.908951
37.200000 -0.915068
37.800000 -0.924102
38.400000 -0.935616
39.000000 -0.937870
39.600000 -0.375431
40.200000 -1.068963
40.800000 -inf
41.400000 -inf
42.000000 -inf
42.600000 -inf
43.200000 -inf
43.800000 -inf
44.400000 -inf
