# OrderP Phi
23.000000 -47.549492
23.233333 -46.663308
23.466667 -46.381820
23.700000 -46.036331
23.933333 -45.616981
24.166667 -45.147567
24.400000 -44.634518
24.633333 -44.087188
24.866667 -43.495594
25.100000 -42.866394
25.333333 -42.263437
25.566667 -41.671509
25.800000 -41.185253
26.033333 -40.849208
26.266667 -40.681246
26.500000 -40.811708
26.733333 -41.827214
26.966667 -47.608583
27.200000 -40.323276
27.433333 -49.492322
27.666667 -67.080559
27.900000 -52.620056
28.133333 -44.781044
28.366667 -45.320936
28.600000 -45.561183
28.833333 -45.671635
29.066667 -45.676481
29.300000 -45.423165
29.533333 -44.948553
29.766667 -44.762628
30.000000 -44.224384
30.233333 -43.664095
30.466667 -42.931695
30.700000 -42.309767
30.933333 -41.378913
31.166667 -40.303329
31.400000 -39.102302
31.633333 -37.718837
31.866667 -36.438424
32.100000 -34.932638
32.333333 -32.690322
32.566667 -28.294380
32.800000 -18.113857
33.033333 -14.436180
33.266667 -12.502845
33.500000 -12.497855
33.733333 -12.599233
33.966667 -14.190159
34.200000 -13.155112
34.433333 -12.302435
34.666667 -11.825337
34.900000 -10.668341
35.133333 -9.749018
35.366667 -8.362961
35.600000 -6.356380
35.833333 -4.759768
36.066667 -3.192848
36.300000 -1.858962
36.533333 -0.801249
36.766667 0.000000
